"Team1","Score1","Score2","Team2","V5"
"The Mighty Cucks","101.4","Jabroni Zamboni goes Tkachoook","121.05","Week 1"
"Pucks to the Walz","170","CommieConspiracyHorseshit","191.3","Week 1"
"Not sure","160.95","Rob's Legit Team","154.7","Week 1"
"Your Moms penalty box","175.9","David's Definitive Team","136.8","Week 1"
"Cristobal's Choice Team","126.9","The Idaho Idiots","179.5","Week 1"
"sean's Crazy Team","145.2","JustPuckingAround","127.55","Week 1"
"The Mighty Cucks","191.65","Pucks to the Walz","168.65","Week 2"
"Jabroni Zamboni goes Tkachoook","151.9","A Squad","168.95","Week 2"
"Not sure","154.65","The Idaho Idiots","208.55","Week 2"
"Rob's Legit Team","183.75","David's Definitive Team","191.7","Week 2"
"The Puck Tuahs","192.7","CommieConspiracyHorseshit","160.25","Week 2"
"Cristobal's Choice Team","188.4","JustPuckingAround","176.8","Week 2"
"The Mighty Cucks","217.9","JustPuckingAround","128.85","Week 3"
"Jabroni Zamboni goes Tkachoook","177.15","CommieConspiracyHorseshit","221.25","Week 3"
"Pucks to the Walz","169.35","David's Definitive Team","183.9","Week 3"
"Not sure","144.4","The Puck Tuahs","152.4","Week 3"
"Rob's Legit Team","157.95","The Idaho Idiots","198.35","Week 3"
"Cristobal's Choice Team","135","A Squad","164.45","Week 3"
"The Mighty Cucks","201.7","Not sure","169.4","Week 4"
"Jabroni Zamboni goes Tkachoook","181.55","The Puck Tuahs","206.1","Week 4"
"Pucks to the Walz","199.7","Cristobal's Choice Team","179.05","Week 4"
"Rob's Legit Team","218","JustPuckingAround","175.05","Week 4"
"CommieConspiracyHorseshit","200.35","David's Definitive Team","200.95","Week 4"
"A Squad","183.75","The Idaho Idiots","214.45","Week 4"
"The Mighty Cucks","185.25","David's Definitive Team","211.65","Week 5"
"Jabroni Zamboni goes Tkachoook","184.20","Rob's Legit Team","180.40","Week 5"
"Pucks to NO Walz","130.85","The Puck Tuahs","163.35","Week 5"
"Not sure","146.30","A Squad","151.45","Week 5"
"Cristobal's Choice Team","119.50","CommieConspiracyHorseshit","187.65","Week 5"
"JustPuckingAround","138.30","The Idaho Idiots","201.25","Week 5"
